x,        y,         z,    speed,    acceleration,      cur,  cur_ch_r, time,    theta,          gear, s,          throttle, brake, steering
215746.816044, 2546202.12142, 27.8460913729, 7.26042938232, -0.0670422464609, -0.0155260284516, 0.265561802716, 1580910318.5262, -1.30147161483, 1, 3.04356607048, 0.0, 0.0, -8.62515258789
215747.0134, 2546201.42093, 27.8459624625, 7.37976312637, 5.31030511856, -0.0, 0.21038654203, 1580910318.6263, -1.31424436761, 1, 3.11736370175, 100.0, 0.0, -0.0
215747.190616, 2546200.75451, 27.8440426318, 7.93589544296, 5.58797883987, -0.0, 0.0, 1580910318.7265, -1.31666454349, 1, 3.19672265617, 100.0, 0.0, -0.0
215747.440275, 2546199.79628, 27.8412395716, 8.55709171295, 5.63852357864, -0.0, 0.0, 1580910318.8264, -1.31718202939, 1, 3.2822935733, 100.0, 0.0, -0.0
215747.61409, 2546199.1259, 27.8407790223, 8.65377426147, -0.212324216962, -0.0, 0.0, 1580910318.9265, -1.3172085002, 1, 3.36883131592, 0.0, 0.0, -0.0
215747.874256, 2546198.12184, 27.8425030871, 8.63455581665, -0.218050464988, 0.0106139122998, 0.122923663072, 1580910319.0262, -1.31660643029, 1, 3.45517687409, 0.0, 0.0, 5.89837932587
215748.069362, 2546197.37104, 27.8438213151, 8.63455581665, -0.206019386649, 0.0106139122998, 0.0, 1580910319.1266, -1.30753759651, 1, 3.54152243225, 0.0, 0.0, 5.89837932587
215748.33653, 2546196.3743, 27.8449533349, 8.60617828369, -0.184053301811, 0.00938202733067, -0.0143139606054, 1580910319.2269, -1.29600328237, 1, 3.62758421509, 0.0, 0.0, 5.2141418457
215748.520387, 2546195.71275, 27.8453807393, 8.5867767334, -0.18071295321, -0.0, -0.109261340104, 1580910319.3265, -1.2942521637, 1, 3.71345198242, 0.0, 0.0, -0.0
215748.729664, 2546194.97055, 27.8456632621, 8.56898784637, -0.177956536412, -0.0, 0.0, 1580910319.4268, -1.29370951379, 1, 3.79914186089, 0.0, 0.0, -0.0
